Toko,Platform,Kategori Seri,Kategori Varian,penyimpanan,Battery Health,Harga,Pembayaran,Wilayah Toko,Kategori iPhone
Iplug_store,Shopee,iPhone 11 Series,iPhone 11,64GB,,Rp2.050.000,"VA, E-Wallet",Jakarta Barat,Inter
XYPHONE,Shopee,iPhone 11 Series,iPhone 11,64GB,,Rp2.100.000,"VA, E-Wallet",Jakarta Barat,Resmi
gloria.gadget8,Shopee,iPhone 11 Series,iPhone 11,64GB,,Rp2.150.000,"VA, E-Wallet",Kab. Tangerang,Resmi
YK168,Shopee,iPhone 11 Series,iPhone 11,64GB,,Rp2.180.000,"VA, E-Wallet",Jakarta Barat,Resmi
GudangGadget08,Shopee,iPhone 11 Series,iPhone 11,64GB,,Rp2.200.000,"VA, E-Wallet",Kab. Tangerang,Resmi
LunexStore,Shopee,iPhone 11 Series,iPhone 11,64GB,99.0,Rp2.518.000,"VA, E-Wallet",Jakarta Utara,Resmi
YM Store168,Shopee,iPhone 11 Series,iPhone 11,128GB,,Rp2.560.000,"VA, E-Wallet",Jakarta Utara,Resmi
Skullpanda.Store,Shopee,iPhone 11 Series,iPhone 11,64GB,,Rp2.598.000,"VA, E-Wallet",Jakarta Utara,Resmi
SmartHive,Shopee,iPhone 11 Series,iPhone 11,64GB,,Rp2.994.000,"VA, E-Wallet",Jakarta Utara,Resmi
Boboy Store,Shopee,iPhone 11 Series,iPhone 11,64GB,,Rp3.150.000,"VA, E-Wallet",Jakarta Barat,Resmi
Gadget Murmer,Shopee,iPhone 11 Series,iPhone 11,64GB,,Rp3.690.000,"VA, E-Wallet",Jakarta Utara,Resmi
TiMii Resmi Store,Shopee,iPhone 11 Series,iPhone 11,64GB,90.0,Rp3.700.000,"VA, E-Wallet",Jakarta Utara,Resmi
Mega.Digital,Shopee,iPhone 11 Series,iPhone 11,64GB,,Rp3.800.000,"VA, E-Wallet",Jakarta Barat,Resmi
TiMii Resmi Store,Shopee,iPhone 11 Series,iPhone 11,64GB,,Rp3.800.000,"VA, E-Wallet",Jakarta Utara,Resmi
467_567,Shopee,iPhone 11 Series,iPhone 11,64GB,90.0,Rp3.998.000,"VA, E-Wallet",Jakarta Barat,Resmi
Monica store86,Shopee,iPhone 11 Series,iPhone 11,64GB,,Rp4.128.000,"VA, E-Wallet",Jakarta Utara,Resmi
Semesta.Line,Shopee,iPhone 11 Series,iPhone 11,64GB,,Rp4.230.000,"VA, E-Wallet",Jakarta Barat,Inter
Rajadunia.Sda,Shopee,iPhone 11 Series,iPhone 11,64GB,,Rp4.800.000,"VA, E-Wallet",Kab. Sidoarjo,Resmi
Blizt smart store,Shopee,iPhone 11 Series,iPhone 11,256GB,,Rp5.078.000,"VA, E-Wallet",Jakarta Utara,Resmi
anisxptr_,Shopee,iPhone 11 Series,iPhone 11,64GB,90.0,Rp5.398.000,"VA, E-Wallet",Jakarta Barat,Resmi
NeupPhonic,Shopee,iPhone 11 Series,iPhone 11 Pro,512GB,,Rp2.892.000,"VA, E-Wallet",Jakarta Utara,Resmi
AigoCell,Shopee,iPhone 11 Series,iPhone 11 Pro,256GB,,Rp2.894.000,"VA, E-Wallet",Jakarta Utara,Resmi
Bubbles88,Shopee,iPhone 11 Series,iPhone 11 Pro,64GB,100.0,Rp3.009.000,"VA, E-Wallet",Jakarta Barat,Resmi
mnsn store,Shopee,iPhone 11 Series,iPhone 11 Pro,64GB,,Rp3.679.000,"VA, E-Wallet",Jakarta Barat,Resmi
leo iphone store,Shopee,iPhone 11 Series,iPhone 11 Pro,64GB,,Rp3.679.000,"VA, E-Wallet",Jakarta Barat,Resmi
Apple Sure91,Shopee,iPhone 11 Series,iPhone 11 Pro,64GB,,Rp3.709.000,"VA, E-Wallet",Jakarta Barat,Resmi
OvinStore,Shopee,iPhone 11 Series,iPhone 11 Pro,64GB,,Rp3.759.000,"VA, E-Wallet",Jakarta Barat,Resmi
fionakimberly88,Shopee,iPhone 11 Series,iPhone 11 Pro,64GB,80.0,Rp3.773.000,"VA, E-Wallet",Jakarta Barat,Resmi
JNC.CELL,Shopee,iPhone 11 Series,iPhone 11 Pro,64GB,80.0,Rp3.791.000,"VA, E-Wallet",Jakarta Barat,Resmi
Box.id store,Shopee,iPhone 11 Series,iPhone 11 Pro,64GB,80.0,Rp3.798.000,"VA, E-Wallet",Jakarta Barat,Resmi
i.shop33,Shopee,iPhone 11 Series,iPhone 11 Pro,64GB,90.0,Rp3.799.000,"VA, E-Wallet",Jakarta Barat,Resmi
Gudang_iphone.id,Shopee,iPhone 11 Series,iPhone 11 Pro,64GB,,Rp3.924.000,"VA, E-Wallet",Jakarta Barat,Resmi
iboxsecond.id,Shopee,iPhone 11 Series,iPhone 11 Pro,64GB,100.0,Rp3.930.000,"VA, E-Wallet",Jakarta Barat,Resmi
Kino Phone Cell,Shopee,iPhone 11 Series,iPhone 11 Pro,64GB,90.0,Rp4.210.000,"VA, E-Wallet",Jakarta Pusat,Inter
Kino Phone Cell,Shopee,iPhone 11 Series,iPhone 11 Pro,64GB,90.0,Rp4.220.000,"VA, E-Wallet",Jakarta Pusat,Inter
WONGTOPCELL,Shopee,iPhone 11 Series,iPhone 11 Pro,256GB,,Rp4.299.000,"VA, E-Wallet",Malang,Resmi
